ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
1558746218,a second chicken soup for the womans soul chicken soup for the soul series,jack canfield,1998,health communications
0684823802,out of the silent planet,cs lewis,1996,scribner
0425163091,chocolate jesus,stephan jaramillo,1998,berkley
0156047624,all the kings men,robert penn warren,1982,harvest
0345260317,the dragons of eden: speculations on the evolution of human intelligence,carl sagan,1978,ballantine
1569871213,black beauty illustrated classics,anna sewell,1995,landoll
0553347594,mcdonalds: behind the arches,john f love,1995,bantam
0671521519,bless the beasts and children : bless the beasts and children,glendon swarthout,1995,pocket
9724119378,o deus das pequenas coisas,roy,1998,edicoes asa
0345425294,gangster,lorenzo carcaterra,2002,fawcett
0061030147,cybill disobedience: how i survived beauty pageants elvis sex bruce willis lies marriage motherhood hollywood and the irrepressible urge to say what i think,cybill shepherd,2001,avon
0140250964,snow angels,stewart o,1995,penguin
3150000335,kabale und liebe,schiller,1991,"philipp reclam, jun verlag gmbh"
3257203659,der illustrierte mann erzaaahlungen,ray bradbury,2002,diogenes
0345433173,the tall pine polka,lorna landvik,1999,ballantine
034543191X,the king of elflands daughter del rey impact,edward john moreton drax plunkett dunsany,1999,del rey
0373836023,powder and patch,georgette heyer,2004,harlequin
0375823352,the amber spyglass his dark materials book,philip pullman,2002,knopf for young readers
0486415864,great expectations dover thrift editions,charles dickens,2001,dover
1401201172,league of extraordinary gentlemen vol comic,alan moore,2003,dc comics
0670856045,the tortilla curtain,t coraghessan boyle,1995,viking
0345430476,a small dark place,martin schenk,1999,ballantine
0671018930,the war in heaven eternal warriors,theodore beale,2000,pocket
1559703237,trying to save piggy sneed,john irving,1996,arcade
0449202631,danger,dick francis,1985,fawcett
0590450875,i spy: a book of picture riddles,jean marzollo,1992,scholastic
0140345809,house of stairs,william sleator,1991,puffin
156718796X,astral travel for beginners for beginners,richard webster,1998,llewellyn
0198320264,julius caesar oxford school shakespeare,william shakespeare,2001,oxford university
0373196989,santa brought a son : marrying the bosss daughter silhouette romance,melissa mcclone,2003,silhouette
039456894X,impossible vacation,spalding gray,1992,random house
0375414746,the clearing,tim gautreaux,2003,knopf
0812523385,selected poems of emily dickinson,emily dickinson,1995,tor
0679733825,sisters of the earth: womens prose and poetry about nature,lorraine anderson,1991,vintage
887641486X,i giorni dellabbandono,elena ferrante,2002,edizioni e/o
080521061X,montessori today: a comprehensive approach to education from birth to adulthood,paula polk lillard,1996,schocken
0375403582,rules of the wild,francesca marciano,1998,random house
0553225987,roberts rules of order,william eisner,1986,bantam
0439061644,the first journey animorphs alternamorphs,k a applegate,1999,apple signature
0449211770,the tightrope walker,dorothy gilman,1997,fawcett
0312312628,out of the deep i cry : a clare fergussonruss van alstyne mystery,julia spencerfleming,2004,st. martin's minotaur
0380709260,socks cleary reissue,beverly cleary,1990,harpertrophy
0449209121,the amazing mrs pollifax,dorothy gilman,1992,fawcett
006015781X,why do clocks run clockwise and other imponderables: mysteries of everyday life explained,david feldman,1987,harpercollins
1576737357,diary of a teenage girl becoming me : diary number diary of a teenage girl,melody carlson,2000,multnomah
0061080519,the mist and the magic harper monogram,susan wiggs,1993,harper mass market
0425169626,waking the dead,scott spencer,2000,berkley
0399147012,edge of danger,jack higgins,2001,putnam
0060192631,one heart,jane mccafferty,1999,harpercollins
0345428900,out of the blue,sally mandel,2000,ballantine
0446602086,the proud and the free,janet dailey,1995,warner vision
0140253580,therapy,david lodge,1996,penguin putnam~
057120354X,awful end eddie dickens trilogy s,philip ardagh,2000,faber children's
0140292918,of mice and men steinbeck essentials,john steinbeck,2001,penguin
0747538069,the adventures of dougal,eric thompson,1998,bloomsbury plc
0962893862,return to isis,jean stewart,1992,rising tide
1563410443,skin: talking about sex class literature,dorothy allison,1994,firebrand
0553579681,night mares,manda scott,1999,crimeline
0553574167,the hutt gambit star wars: the han solo trilogy vol,a c crispin,1998,bantam
0312977905,to catch a cat,marian babson,2002,st. martin's minotaur
0689832877,sunwing aladdin fantasy,kenneth oppel,2001,aladdin
0064409457,the silver chair full color narnia,c s lewis,2000,harpertrophy
0152162445,high wizardry: the third book in the young wizards series,diane duane,2001,magic carpet
0439221676,all that glitters avalon,rachel roberts,2001,scholastic
0440415993,ties that bind ties that break laurelleaf books,lensey namioka,2000,laurel-leaf
0590514776,meet the stars of buffy the vampire slayer,stefanie scott,1998,scholastic
0451527038,the call of the wild: and selected stories signet classics paperback,jack london,1998,signet
0345341201,sins of omission,fern michaels,1989,ivy
0440175623,random winds,belva plain,1987,dell
0911104542,cat kat n,b kliban,1975,workman pub. co
158574218X,common phrases: and where they come from,john mordock,2001,the lyons
3492229336,die meute der erben,gaby hauptmann,1999,piper
3423009152,der geteilte himmel,christa wolf,1984,deutscher taschenbuch verlag
3596133319,helden wie wir,thomas brussig,1998,"fischer , frankfurt"
0345298985,one tree donaldson stephen r second chronicles of thomas covenant bk,stephen r donaldson,1982,ballantine
034531042X,wounded land second chronicles of thomas covenant,stephen r donaldson,1981,del rey
034531011X,lord fouls bane the chronicles of thomas covenant the unbeliever book one,stephen r donaldson,1978,del rey
0451130448,exocet,jack higgins,1984,penguin putnam~mass
0805008950,tracks,louise erdrich,1988,smithmark pub
3453863593,shadowrun deutschland in den schatten,hans joachim alpers,2003,heyne
0451450604,the union forever lost regiment numbered,william forstchen,1997,roc
0441001335,the callahan touch,spider robinson,1996,ace
0553801031,the new rabbi : a congregation searches for its leader,stephen fried,2002,bantam
0766607119,little women treasury of illustrated classics,louisa may alcott,2003,modern
044100962X,mythion improbable myth books,robert asprin,2002,ace
0517006456,eves rib,bryn chandler,1988,random house
0786867086,in search of america,tod brewster,2002,hyperion
0756401453,wild magic fools gold book,jude fisher,2003,daw
0399242562,shadowmancer,g p taylor,2004,putnam
0708881297,dinosaur planet survivors,anne mccaffrey,1996,time warner uk
0575073004,nightchild gollancz sf s,james barclay,2002,gollancz
1578562333,no eye can see kirkpatrick jane kinship and courage historical series bk,jane kirkpatrick,2001,waterbrook
0802433243,only the wind remembers,marlo schalesky,2003,moody
0895773538,how in the world: a fascinating journey through the world of human ingenuity,readers digest,1990,readers digest
031227999X,emotionally weird: a novel,kate atkinson,2001,picador
0451409086,threat vector,michael dimercurio,2000,onyx
0671522817,braveheart,randall wallace,1995,pocket
0671318314,callahans lady,spider robinson,2001,baen
0553568183,blue moon,luanne rice,1994,bantam
0451526295,mansfield park signet classics paperback,jane austen,1996,signet
0380725398,jamaica inn,daphne du maurier,1995,avon
0451402103,bitter blood: a true story of southern family pride madness and multiple murder,jerry bledsoe,1997,onyx
0671701053,thing of beauty,stephen fried,1994,pocket
0440217806,secret ceremonies: a mormon womans intimate diary of marriage and beyond,deborah laake,1994,dell company
0373711123,another mans wife,rebecca winters,2003,harlequin
0373226519,in the blink of an eye the taylor clan harlequin intrigue no,julie miller,2002,harlequin
0880387300,shadowdale forgotten realms: avatar trilogy book one,scott ciencin,1989,wizards of the coast
2266000489,la nuit des temps,rene barjavel,1998,presses de la cite french
0590629824,the capture animorphs paperback numbered,katherine applegate,1997,scholastic
0312205872,slightly chipped: footnotes in booklore,lawrence goldstone,1999,st martins pr
0440177499,snow queen,joan d vinge,1984,bantam doubleday dell
1575666529,wedding day murder: a lucy stone mystery meier leslie lucy stone mystery,leslie meier,2001,kensington corporation
0786014210,darkness,sam siciliano,2001,kensington corporation
0425172554,primary target,joe weber,1999,berkley
0330357808,marilyns almost terminal new york adventure,justine ettler,1996,picador
0676974562,atonement,ian mcewan,2002,random house
0312964854,hush little babies : the true story of a mother who murdered her own children st martins true crime library,donald a davis,1997,st. martin's
0684863324,gardens in the dunes: a novel,leslie marmon silko,2000,simon & schuster
3596113350,die mambo kings spielen songs der liebe roman,oscar hijuelos,1992,"fischer , frankfurt"
0380706725,fg cooks american,j smith,1990,avon
1884822738,big little book of irish wit wisdom: six volumes in one : irish blessings irish toasts irish proverbs irish riddles irish laws irish wisdom,fergus kelly,1997,black dog & leventhal
0140004424,brighton rock,graham greene,1970,penguin
037541181X,a venetian affair,andrea di robilant,2003,knopf
0671698419,borders of infinity,lois mcmaster bujold,1989,baen
0553343874,emmanuels book: a manual for living comfortably in the cosmos,pat rodegast,1987,bantam
0451147375,blood test,jonathan kellerman,1987,signet
0553580876,sympathy for the devil,kent anderson,2000,bantam
0345441753,criminal intent,william bernhardt,2003,fawcett
0028621239,the complete idiots guide to knitting crocheting,gail diven,1999,alpha
055326396X,arctic dreams: imagination and desire in a northern landscape,barry lopez,1993,bantam
0440234824,the sibyl in her grave,sarah caudwell,2001,dell company
0373835426,witchcraft,jayne ann krentz,2003,harlequin
0380804670,the silent service: los angeles class,h jay riker,2001,avon
8807810360,una donna,aleramo,1990,feltrinelli
8466302263,el ultimo judio punto de lectura,noah gordon,2003,punto de lectura
0812504364,a connecticut yankee in king arthurs court,mark twain,1997,tor
9500703203,el amor en los tiempos del colera love in the times of cholera,gabriel garcia marquez,1987,sudamericana
9679787834,vermillion eye: a chiller of a thriller that will shock you to the bone,halim,2000,pelanduk
0451195507,judging time april woo suspense novels paperback,leslie glass,1999,signet
3404920910,im wald der gehenkten faaachse,arto paasilinna,2001,la?aa14bbe
0394712447,the method of zen,eugen herrigel,1974,vintage
0671722727,king lear,william shakespeare,1993,washington square
3502517959,die spinne und das maaadchen,sophie schallingher,2001,scherz
0812530489,time wars,poul anderson,1986,tor
0375726624,newjack: guarding sing sing vintage,ted conover,2001,vintage
1577487370,the quilt of life: a patchwork of devotional thoughts inspirational library paperback,mary tatem,2000,barbour
0753811464,maya,jostein gaarder,2006,phoenix mass market p/bk
0590110225,the mighty,rodman philbrick,1998,scholastic
0836228790,the dilbert bunch: a dilbert book main street editions,scott adams,1997,andrews mcmeel
0836221966,you dont need experience if youve got attitude,scott adams,1996,andrews mcmeel
0312860951,reliquary,douglas preston,1997,st martins pr
0380717972,halfway home,paul monette,1992,harpercollins
0226067114,christianity social tolerance and homosexuality: gay people in western europe from the beginning of the christian era to the fourteenth century,john boswell,1981,university of chicago
1561707236,souls perfection journey of the soul,sylvia browne,2000,hay house
0062500287,the flight of the seventh moon: the teaching of the shields,lynn andrews,1985,harpercollins
0889652066,making your home a haven: strategies for the domestically challenged,cyndy salzmann,2001,horizon
038072930X,turbulent souls: : a catholic sons return to his jewish family,stephen j dubner,1999,perennial
0316754315,the morning after: sex fear and feminism on campus,katie roiphe,1993,little brown & co
8817844330,confucio nel computer: memoria accidentale del futuro,furio colombo,1995,nuova eri rizzoli
067170463X,murder on the orient express,agatha christie,1978,pocket
0373123086,the blind date bride the australians,emma darcy,2003,harlequin
0373123523,the parisian playboy in love with her boss,helen brooks,2003,harlequin
0739307312,the da vinci code,dan brown,2003,random house audio
8420483885,el club dumas ediciaan en espaaaol,arturo perezreverte,1999,"alfaguara ediciones, s.a."
8484509125,el ultimo adios,mary higgins clark,2002,distribooks
0553291025,if i should die,judith kelman,1993,bantam
0061054267,ancient shores,jack mcdevitt,1996,eos
0380898179,so worthy my love,kathleen e woodiwiss,1989,harpercollins
